#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
1|1|Curve USDT Pool yVault|0x28a5b95C101df3Ded0C0d9074DB80C438774B6a9|0x13BC3530829528aEE7261Fe3C4936aBA289BbA54|ConvexcDAI+cUSDC+USDT|Convex Reinvest|5|2|2|1|2|1|3|5437949987|Green|1790753.10|48209246.90|962484.19|46759650.96
2|1|Curve USDT Pool yVault|0x28a5b95C101df3Ded0C0d9074DB80C438774B6a9|0x5Fa22A8527Ae20f4ed8Ed3E0a6A5359Ad5EA3A4e|CurvecDAI+cUSDC+USDTVoterProxy|Curve Boost|2|4|2|1|1|1|3|2283832355|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
3|1|Curve Pax Pool yVault|0x80bbeE2fa460dA291e796B9045e93d19eF948C6A|0x60A335509E75175E0fF785091f1Baf979148A290|CurveypaxCrvVoterProxy|Curve Boost|2|4|2|1|1|1|3|2283832355|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
4|1|WETH yVault|0xa258C4606Ca8206D8aA700cE2143D7db854D168c|0x120FA5738751b275aed7F7b46B98beB38679e093|StrategystETHAccumulator_v2|Lido Eth 2.0 Staking|5|3|1|1|2|2|3|5470455875|Yellow|56018712.83|-6018712.83|33672.98|-3617.86
5|1|WETH yVault|0xa258C4606Ca8206D8aA700cE2143D7db854D168c|0xec2DB4A1Ad431CC3b102059FA91Ba643620F0826|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
6|1|WETH yVault|0xa258C4606Ca8206D8aA700cE2143D7db854D168c|0x64E4779BfF8588ccDCa9f290b9Bc346a798f5277|StrategyLenderYieldOptimiser|Compound Finance Lender Optimizer|4|3|3|2|2|3|3|4398844003|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
7|1|WETH yVault|0xa9fE4601811213c340e850ea305481afF02f5b28|0xE5f7f2E59B259E11EcF2Ff76fDf5dC7438363A3f|Router_yvWETH_042|Yearn Delegate|5|1|2|1|2|5|3|5404395683|Green|14339491.89|35660508.11|13427454.91|6896.30
8|1|YFI yVault|0xE14d13d8B3b85aF791b2AADD661cDBd5E6097Db1|0x0A5157244e4F82F100A461CA65C7b05C8dACf835|Router_yvYFI_043|Yearn Delegate|5|1|2|1|2|5|3|5404395683|Green|14339491.89|35660508.11|13427454.91|6896.30
9|1|WBTC yVault|0xA696a63cc78DfFa1a63E9E50587C197387FF6C7E|0x9E9a2a86eeff52FFD13fc724801a4259b2B1A949|CompV3 WBTC Lender USDC Borrower|Compound Lender Borrower|4|3|4|2|2|3|3|4399892579|Green|1700952.04|8299047.96|98902.78|309.38
10|1|WBTC yVault|0xA696a63cc78DfFa1a63E9E50587C197387FF6C7E|0x1E93cD1e6766e7FCB459092e160F876ddA650415|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|2|2|3|3|4398844003|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
11|1|DAI yVault|0xdA816459F1AB5631232FE5e97a05BBBb94970c95|0x01d127D90513CCB6071F83eFE15611C4d9890668|GenLevCompV4|Compound Finance Flashmint Folding|4|2|5|2|1|2|2|4367385666|Green|49278972.68|721027.32|49311597.08|721582.94
12|1|USDC yVault|0x5f18C75AbDAe578b483E5F43f12a39cF75b973a9|0x36822d0b11F4594380181cE6e76bd4986d46c389|Router-yvUSDC-030-043|Yearn Delegate|5|1|2|1|2|5|3|5404395683|Green|14339491.89|35660508.11|13427454.91|6896.30
13|1|USDC yVault|0xa354F35829Ae975e850e23e9615b11Da1B3dC4DE|0x2216E44fA633ABd2540dB72Ad34b42C7F1557cd4|StrategyLenderYieldOptimiser|Aave Lender Optimizer|4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
14|1|USDC yVault|0xa354F35829Ae975e850e23e9615b11Da1B3dC4DE|0x97D868b5C2937355Bf89C5E5463d52016240fE86|GenLevCompV4|Compound Finance Flashmint Folding|4|2|5|2|1|2|2|4367385666|Green|49278972.68|721027.32|49311597.08|721582.94
15|1|USDC yVault|0xa354F35829Ae975e850e23e9615b11Da1B3dC4DE|0x0Fd45d4fb70D1EC95264dA30934095443DC6af6A|StrategyLenderYieldOptimiser|Flux Finance Lender Optimizer|4|3|3|2|2|3|3|4398844003|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
16|1|USDT yVault|0x7Da96a3891Add058AdA2E826306D812C638D87a7|0xB0eb24077563DB8b88384949011dc46410C0A31D|Router_yvUSDT_043|Yearn Delegate|5|1|2|1|2|5|3|5404395683|Green|14339491.89|35660508.11|13427454.91|6896.30
17|1|USDT yVault|0x3B27F92C0e212C671EA351827EDF93DB27cc0c65|0xd8F414beB0aEb5784c5e5eBe32ca9fC182682Ff8|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|2|2|3|3|4398844003|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
18|1|TUSD yVault|0xFD0877d9095789cAF24c98F7CCe092fa8E120775|0x564bf2844654f149821697cC56572eE4384c05f7|StrategyKashiMultiPairLender|Kashi Lender|5|1|3|1|2|5|3|5405444259|Green|22616.84|9977383.16|22663.69|9982504.19
19|1|LUSD yVault|0x378cb52b00F9D0921cb46dFc099CFf73b42419dC|0xFf72f7C5f64ec2fd79B57d1A69C3311C1bB3EEF1|StrategyLiquityStabilityPoolLUSD|LiquityUSD Stability Pool Strategy|5|2|3|1|2|5|2|5438998690|Green|667335.57|49332664.43|671893.70|49669623.15
20|1|RAI yVault|0x873fB544277FD7b977B196a826459a69E27eA4ea|0x5D411D2cde10e138d68517c42bE2808C90c22026|StrategyIdleidleRAIYield|Idle Finance Reinvest|5|3|2|1|2|4|2|5471504514|Green|9551.03|49990448.97|3646.00|30049.38
21|1|LINK yVault|0x671a912C10bba0CFA74Cfc2d6Fba9BA1ed9530B2|0xb8cB98701153C16df52f33e7E084c816bE60D8D9|StrategyLenderYieldOptimiser|Aave Lender Optimizer|4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
22|1|LINK yVault|0x671a912C10bba0CFA74Cfc2d6Fba9BA1ed9530B2|0x17304367C7680a62F23B667ce5ef7e80aE296205|CompV3 LINK Lender USDC Borrower|Compound Lender Borrower|4|3|4|2|2|3|3|4399892579|Green|1700952.04|8299047.96|98902.78|309.38
23|1|SNX yVault|0xF29AE508698bDeF169B89834F76704C3B205aedf|0xAA28e87062Ff4023Acd39c4c6a9693Ea889E9d28|StrategyLenderYieldOptimiser|Aave Lender Optimizer|4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
24|1|AAVE yVault|0xd9788f3931Ede4D5018184E198699dC6d66C1915|0xC06ed8E16F1E66acC03F7af1b0bA96fFF589E495|StrategyLenderYieldOptimiser|Iron Bank Lender Optimizer|4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
25|1|SUSHI yVault|0x6d765CbE5bC922694afE112C140b8878b9FB0390|0xb6abbD5594B344F17aF8D9a83869C3660eA9a6bd|Strategy-xSushi-Staker|Sushi Staking|5|3|1|1|2|2|4|5470455876|Green|65766.69|49934233.31|112110.09|85121070.85
26|1|UNI yVault|0xFBEB78a723b8087fD2ea7Ef1afEc93d35E8Bed42|0xaD389B9Caa1820eDE6703C499C59BC0a503F754E|88MPH UNI via Compound|88 MPH Reinvest|5|3|2|1|2|3|3|5471504483|Green|112775.38|9887224.62|26042.42|1235903.08
27|1|Curve EURS Pool yVault|0x25212Df29073FfFA7A67399AcEfC2dd75a831A1A|0x39e327aC9f875C6685F8a6191688390F48d37274|StrategyRouterV2-Curve-EURS|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
28|1|Balancer Boosted Aave USD Pool yVault|0x4213458C69c19E6792510E1153cb0c5834665fdC|0xC7eF34BFEf71c54C23f072BD1a57D74d02fD125D|BB-A-USD Aura Auto Staker|Aura Reinvest|4|3|3|1|4|3|3|4398813283|Green|0.02|9999999.98|4.93|2763194247.63
29|1|Curve USDK Pool yVault|0x3D27705c64213A5DcD9D26880c1BcFa72d5b6B0E|0x096E2F730c6AB7a048de7d27507E5E4e864c6824|Curveusdk3CRVVoterProxy|Curve Boost|2|4|2|1|1|1|3|2283832355|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
30|1|Curve 3Crypto Pool yVault|0xE537B5cc158EB71037D4125BDD7538421981E6AA|0x566fF03CfDF9Bdcda9D7a2D99180DDBD5e3b06d2|StrategyRouterV2-3Crypto|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
31|1|Curve MIM Pool yVault|0x2DfB14E32e2F8156ec15a2c21c3A6c053af52Be8|0x407780Eb70e53eC88C1FB0B40D7192Fc757AC5c2|StrategyRouterV2-Curve-MIM|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
32|1|Curve Iron Bank Pool yVault|0x27b7b1ad7288079A66d12350c828D3C00A6F07d7|0x887D9A19Eb8116d94924ddef57BD91049fD92533|StrategyConvexIronBank|Convex Reinvest|5|2|2|1|2|1|3|5437949987|Green|1790753.10|48209246.90|962484.19|46759650.96
33|1|Curve ibCHF Pool yVault|0x490bD0886F221A5F79713D3E84404355A9293C50|0x318BE693d9110035F7Ba02B3bAde0B79AaC97Cf2|StrategyRouterV2-Curve-ibCHF|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
34|1|Curve ibEUR Pool yVault|0x67e019bfbd5a67207755D04467D6A70c0B75bF60|0x950AcdB04A1b7D852c8184aD4A9D01554baaf86C|StrategyRouterV2-Curve-ibEUR|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
35|1|Curve ibGBP Pool yVault|0x595a68a8c9D5C230001848B69b1947ee2A607164|0xB7168729933239B9e2C8b1c046055a7AEf74516C|StrategyRouterV2-Curve-ibGBP|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
36|1|Curve ibKRW Pool yVault|0x528D50dC9a333f01544177a924893FA1F5b9F748|0x1814c6AE1EF934d48505cAacD3Fb27e39c1522e3|StrategyRouterV2-Curve-ibKRW|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
37|1|Curve 3pool yVault|0x84E13785B5a27879921D6F685f041421C7F482dA|0x05F0656164aE39D237D8B6D112899bd0a3A8F940|StrategyRouterV2-Curve-3pool|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
38|1|Curve CRV-ETH Pool yVault|0x6A5468752f8DB94134B6508dAbAC54D3b45efCE6|0x3DD9636CA2b554cCCd219d73796e80d819c90CBa|StrategyRouterV2-Curve-CRV-ETH|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
39|1|Curve CVX-ETH Pool yVault|0x1635b506a88fBF428465Ad65d00e8d6B6E5846C3|0x2FA2e992BB5C68a8B61cbFa995431AFbD0A4Db11|StrategyRouterV2-Curve-CVX-ETH|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
40|1|Curve 3EUR Pool yVault|0x5AB64C599FcC59f0f2726A300b03166A395578Da|0xd978BFAD6D15437ceeaC34070Cd9ce9050956a87|StrategyRouterV2-Curve-3EUR|Yearn Delegate|2|4|2|2|1|1|3|2283865123|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
41|1|Curve alUSD Pool yVault|0xA74d4B67b3368E83797a35382AFB776bAAE4F5C8|0x3A4A18F238E75Ba24AD0A65c554D56Cc920f0f78|StrategyRouterV2-Curve-alUSD|Yearn Delegate|5|2|2|2|2|4|3|5437982851|Green|8420974.52|41579025.48|444588484.17|40666668.77
42|1|Curve BUSD Pool yVault|0x6Ede7F19df5df6EF23bD5B9CeDb651580Bdf56Ca|0xFfBeEA9dD4a9D27c146e1dE904B0979961326eC7|StrategyRouterV2-Curve-BUSD|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
43|1|Curve UST Wormhole Pool yVault|0x04d73c87b20d372cB3240C72eEFB9d79bA5e4959|0x3Ed2b9AE4F6B71eA58bED770066A04Dad218b1aF|StrategyConvexUST-W|Convex Reinvest|5|2|2|1|2|1|3|5437949987|Green|1790753.10|48209246.90|962484.19|46759650.96
44|1|Curve Compound Pool yVault|0xD6Ea40597Be05c201845c0bFd2e96A60bACde267|0x04824d4872949dFB6F256487459d3807a9A0599a|StrategyRouterV2-Curve-Compound|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
45|1|Curve DUSD Pool yVault|0x30FCf7c6cDfC46eC237783D94Fc78553E79d4E9C|0x808e128aFD1CdD640525645fDF999F4F0638346D|StrategyRouterV2-Curve-DUSD|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
46|1|Curve FRAX Pool yVault|0xB4AdA607B9d6b2c9Ee07A275e9616B84AC560139|0x3375799f724eDAA4F74E18eD6421FD5445df37D4|StrategyRouterV2-Curve-FRAX|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
47|1|Curve GUSD Pool yVault|0x2a38B9B0201Ca39B17B460eD2f11e4929559071E|0xc76637800a22778C1BBf4315d0E6b61910B1f5D4|StrategyRouterV2-Curve-GUSD|Yearn Delegate|2|4|2|3|1|1|3|2283897891|Yellow|68696517.39|-18696517.39|904006874.67|-10797.41
48|1|Curve LUSD Pool yVault|0x5fA5B62c8AF877CB37031e0a3B2f34A78e3C56A6|0x97E8A7f7Af2558ef6cb92c31458229422CEdCDae|StrategyRouterV2-Curve-LUSD|Yearn Delegate|5|2|2|2|2|4|3|5437982851|Green|8420974.52|41579025.48|444588484.17|40666668.77
49|1|Curve mUSD Pool yVault|0x8cc94ccd0f3841a468184aCA3Cc478D2148E1757|0x994A0A0a74cd199c469b1953094b23Da8042F96d|StrategyRouterV2-Curve-mUSD|Yearn Delegate|5|2|2|3|2|4|3|5438015619|Green|8420974.52|41579025.48|444588484.17|40666668.77
