#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
1|250|YFI yVault|0x2C850cceD00ce2b14AA9D658b7Cad5dF659493Db|0xDf262B43bea0ACd0dD5832cf2422e0c9b2C539dc|StrategyLenderYieldOptimiser|Lender Optimizer|5|2|2|1|3|2|3|5437951043|Green|72396.63|49927603.37|145259.31|49931248.35
2|250|DAI yVault|0x637eC617c86D24E421328e6CAEa1d92114892439|0xa48c616144FD4429b216A86388CAb0Eed990cE87|ssc_dai_geist|Curve Yield Seeker|5|2|3|1|1|2|3|5438997571|Green|166036.12|49833963.88|166164.06|49905878.25
3|250|Curve Geist Pool yVault|0xF137D22d7B23eeB1950B3e19d1f578c053ed9715|0x688BeA3cbcE2F6D20d380d6D9FaF239F3C3d184e|StrategyCurveGeist|Curve Gauge|4|4|3|1|3|2|3|4432366659|Green|141726.42|9858273.58|163144.14|11348057.98
4|250|BOO yVault|0x0fBbf9848D969776a5Eb842EdAfAf29ef4467698|0x4CE40A36A018457F8E0AA7C4a12Cc7ebf228B20F|StrategyLenderYieldOptimiser|Boo Lender Optimizer|5|2|2|1|3|2|3|5437951043|Green|72396.63|49927603.37|145259.31|49931248.35
5|250|Curve Tricrypto Pool yVault|0xCbCaF8cB8cbeAFA927ECEE0c5C56560F83E9B7D9|0xA9a904B5567b5AFfb6bB334bea2f90F700EB221a|StrategyCurveTricrypto|Curve Gauge|2|4|2|1|1|1|3|2283832355|Green|41522.64|49958477.36|39.99|48117.43
6|250|Curve MIM Pool Vault|0xA97E7dA01C7047D6a65f894c99bE8c832227a8BC|0x26F698491Daf32771217ABc1356dae48c7230C75|StrategyCurveStakerSpell|Curve MIM 3Pool Staker|5|3|2|1|4|3|4|5471506532|Green|1214.74|9998785.26|1070.58|8812196.56
7|250|WFTM yVault|0x8853a6232e3DEBE12098Bf682898A92eC10C9921|0x28eE7AB6C04f35C0518c99EBD97ddC1c8A247dCF|GeistWFTMLenderUSDCBorrower ||5|2|4|1|3|2|2|5440048194|Green|54.79|49999945.21|284.96|260052037.56
8|250|WFTM yVault|0x8853a6232e3DEBE12098Bf682898A92eC10C9921|0xC0039d2a930b20552B323b5348689ab03532F9f4|GeistWFTMLenderDAIBorrower||5|2|4|1|3|2|2|5440048194|Green|54.79|49999945.21|284.96|260052037.56
9|250|WBTC yVault|0x85611D071406a9e08Ba49c073087e3Eb57819839|0x015B1AaE468fAFFEC1610ff820f90ED55294570a|StrategyLenderYieldOptimiser||5|2|2|1|3|2|3|5437951043|Green|72396.63|49927603.37|145259.31|49931248.35
10|250|MIM yVault|0x209667B173fE4E9559bdA7818e53Bd5F5E0f9acD|0xf17EE64eFfA317651bBd2b0937CE23F9a328f2Af|MIM Degenbox Kashi Lender||5|3|3|1|3|4|4|5472554116|Green|2.67|9999997.33|2.68|10014428.12
11|250|USDC yVault|0x9e3922FCBb28F40026dA2E58926f0f249d8A138d|0x3414247080142fFaA21bedCD0E63D219D794766D|StrategySynapseSSSUSDC||5|5|5|1|5|5|5|5541762213|Yellow|2135.70|-2135.70|2140.92|-2137.35
