#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
1|10|WETH yVault|0x5B977577Eb8a480f63e11FC615D6753adB8652Ae|0xf8aD69d578bd58c7d3Ff643A22355f0BFd5cA12A|StrategyLenderYieldOptimiser|Aave Optimizer|5|4|3|1|3|3|4|5506108516|Green|8787833.68|1212166.32|7274181.68|1213100.41
2|10|USDC.e yVault|0xaD17A225074191d5c8a37B50FdA1AE278a2EE6A2|0xe82DEb62412DB78D00Cae77BE3d1334e26034Cf6|StrategyLenderYieldOptimiser|Aave Optimizer|5|4|3|1|3|3|4|5506108516|Green|8787833.68|1212166.32|7274181.68|1213100.41
3|10|WBTC yVault|0x7Edf16076e56FA4c111055fbA1fF5556b8757cFB|0x6108591f070ff31809E1DA11FD5AEa9D3235735F|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|1|3|3|3|4398812259|Green|493300.73|9506699.27|551268.95|5714.50
4|10|sUSD yVault|0x2a90F479002DAae9934c3a70EBB6e8DbeB46292b|0xBFD5df2B57Cb9532A39931E4ed74b51CfA940bb0|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|1|3|3|3|4398812259|Green|493300.73|9506699.27|551268.95|5714.50
5|10|DAI yVault|0x65343F414FFD6c97b0f6add33d16F6845Ac22BAc|0x877D377b289AEa8e0F8aC2470252D226417D9e21|StrategyLenderYieldOptimiser|Aave Optimizer|5|4|3|1|3|3|4|5506108516|Green|8787833.68|1212166.32|7274181.68|1213100.41
6|10|Velodrome USDC-sUSD yVault|0x161E7411A291ccaf377279fCe6a8C8D689dBeBe8|0xb2093fDbeeB5c196a1F930b65bc64D935b778377|StrategyVelodromeUsdcClonable|Velodrome Reinvest|5|3|2|2|3|3|2|5471538274|Green|0.00|10000000.00|0.00|4889552.35
7|10|OP yVault|0x7D2382b1f8Af621229d33464340541Db362B4907|0x17Fd2C00144D179970dB9EE487d37f8A6C328eE1|GenLevSonneNoFlash|Sonne Finance Lender Borrower|5|4|4|2|5|3|3|5507191907|Green|755810.76|244189.24|572584.49|184991.85
8|10|Velodrome USDC-DOLA yVault|0x22687Ca792A8Cb5E169a77E0949e71Fe37147604|0x4809143428Ed49D08978aDF209A4179d52ce5371|StrategyVelodromeUsdcDola|Velodrome Reinvest|5|3|2|2|3|3|2|5471538274|Green|0.00|10000000.00|0.00|4889552.35
9|10|Curve sETH Pool yVault|0xb4E4CFA9971C7e1069685771DaB61CA56e72e5C3|0x4E93D2d16De8281E2646F90Db5525bB7ec2a6a75|StrategyCurve_sETH|Curve Boost|2|4|2|2|1|1|3|2283865123|Green|109.67|49999890.33|107.78|49141148.76
10|10|USDT yVault|0xFaee21D0f0Af88EE72BB6d68E54a90E6EC2616de|0x1d3BE43C5621bdA29aB24101c54d434B9b3f29c8|StrategyLenderYieldOptimiser|Aave Optimizer|5|4|3|2|3|3|4|5506141284|Green|8787833.68|1212166.32|7274181.68|1213100.41
11|10|Curve sUSD Pool yVault|0x5e70E0EdE43373bD9CF4Bc85199d424AcF0241EF|0x1F2cbc45308489097Ea583B2989BC8e8355b4D4b|Curve-sUSD-3CRV|Curve Boost|2|4|2|2|1|1|3|2283865123|Green|109.67|49999890.33|107.78|49141148.76
12|10|MAI yVault|0x6759574667896a453304897993D61F00FdC7214d|0x49D4224f3d896A40b678bb17641df47ad3DE0ca4|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|3|3|3|3|4398877795|Green|493300.73|9506699.27|551268.95|5714.50
13|10|Velodrome USDC-MAI yVault|0x682dF61222A3FB64F3e88fEf41cE21499aDcc647|0x6dB00ED5be8Efc49fB9945DAbcc983F969768F3C|StrategyVelodromeUSDC-MAI|Velodrome Reinvest|5|3|2|3|3|3|2|5471571042|Green|0.00|10000000.00|0.00|4889552.35
14|10|Velodrome v2 RED-VELO Factory yVault|0xD7EE0E2d232BcBeFa74EF36A439d0De880c6ece5|0xB92e56feA1F265cA6C85a9cD64A0d58800374985|StrategyVelodromeFactory-vAMMV2-RED/VELO|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
15|10|Velodrome v2 ERN-USDC.e Factory yVault|0x9E724b3f65b509326A4F5Ec90D4689BeE6b6C78e|0x9B724a2896FE8f65F0de64e0E0d0bD63c9962Cc2|StrategyVelodromeFactory-sAMMV2-USDC/ERN|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
16|10|Velodrome v2 sETH-WETH Factory yVault|0x6a44B0415a5c440D32E82965FDFAad54a72D477D|0xe59fDe0B442F42a773715106Ec03A2A04258E9B4|StrategyVelodromeFactory-sAMMV2-WETH/sETH|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
17|10|Velodrome v2 msETH-WETH Factory yVault|0xd0d2Ac44Cc842079e978bB11b094764f7D0dec6A|0x47972c2f68C1FF6E34cD9B6c1a690938de91D80E|StrategyVelodromeFactory-sAMMV2-msETH/WETH|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
18|10|Velodrome v2 rETH-WETH Factory yVault|0x71117Bcd8FE69177EEb8857538D625209756B745|0xb83d27505064e73Ea7298f035FB7D9140C8da8aa|StrategyVelodromeFactory-vAMMV2-WETH/rETH|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
19|10|Velodrome v2 STG-USDC.e Factory yVault|0xf6B272134A193Df5b04332e73184E5b40b8EB810|0x2C25E16A3Bb0a00d2236E1981b4A6371961FFB80|StrategyVelodromeFactory-vAMMV2-STG/USDC|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
20|10|Velodrome v2 FRAX-USDC.e Factory yVault|0xCF6beF33c49824226fB9dEFCdc3b1DE11F207Db7|0x9d9350cef676A173b18fa76bC10845a938661265|StrategyVelodromeFactory-sAMMV2-FRAX/USDC|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
21|10|Velodrome v2 DAI-USDC.e Factory yVault|0x36E4c18B2B43CC989085B4a7306915b115058abF|0xEBa7737DD78212a37229f823c3f286bC57597C39|StrategyVelodromeFactory-sAMMV2-USDC/DAI|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
22|10|Velodrome v2 CHI-DAI Factory yVault|0xAa07Ca79490B3CDA1A25B8fCC69b76C09C6e7A4f|0x90bB44D6AB538aF82f05Ee4d6cFFEF53FB18CB56|StrategyVelodromeFactory-sAMMV2-CHI/DAI|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
23|10|Velodrome v2 agEUR-USDC.e Factory yVault|0x03894Ca9b0CABfC53dDE7C2DCfcC2A58D6192687|0xd22E21a1B9bdc392229fab7E878a10b5b6273fcB|StrategyVelodromeFactory-vAMMV2-USDC/agEUR|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
24|10|Velodrome v2 IB-WETH Factory yVault|0x8e8D635E28BB8774FD23107cC1D9b6D30AD5D0B9|0x4e1a7A01a41D59Cd762beB26684b00762ac8e581|StrategyVelodromeFactory-vAMMV2-IB/WETH|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
25|10|Velodrome v2 MTA-USDC.e Factory yVault|0x906122aC1b55B71248ABFA552fDc6ABd3356884A|0x7F20D98691a91771Bec4c9fC6302626B4Fc99b77|StrategyVelodromeFactory-vAMMV2-USDC/MTA|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
26|10|Velodrome v2 alUSD-USDC.e Factory yVault|0x3B141BD7d6E1d67e2101A08E4dd849a8408d91aa|0x9932559d1Da9e1F00571346d1e4aFB240BEF6EDE|StrategyVelodromeFactory-sAMMV2-USDC/alUSD|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
27|10|Velodrome v2 sUSD-USDC.e Factory yVault|0x1B1d2EfB6045851F8ccdE24369003e0fF157980b|0x9A3142Bc20F7Fb318A76c16D438721f126F9d25F|StrategyVelodromeFactory-sAMMV2-USDC/sUSD|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
28|10|Velodrome v2 LUSD-WETH Factory yVault|0xbC61B71562b01a3a4808D3B9291A3Bf743AB3361|0x35A18609BBC01C1E75932FaB4F239AEAB4742199|StrategyVelodromeFactory-vAMMV2-WETH/LUSD|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
29|10|Velodrome v2 USD+-USDC.e Factory yVault|0x56EeF8430dDdF95b2B92c58B21edf1AC7F77E6a6|0xC4Dd2622740eCd630F4e1b91655a84533A9b2e0B|StrategyVelodromeFactory-sAMMV2-USD+/USDC|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
30|10|Velodrome v2 SNX-USDC.e Factory yVault|0x01c77E8a099e97B7b0Dca2F987d9bd1911CdDE50|0xCd90278862651EeD05EBCD5Cb34a87DEb2b47867|StrategyVelodromeFactory-vAMMV2-USDC/SNX|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
31|10|Velodrome v2 alETH-WETH Factory yVault|0xf7D66b41Cd4241eae450fd9D2d6995754634D9f3|0x02E0E677fAd4A8dC9007a7beD973bf0C70905929|StrategyVelodromeFactory-sAMMV2-alETH/WETH|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
32|10|Velodrome v2 LUSD-USDC.e Factory yVault|0x6aFA09145245eAeDDdAb9333523af9984494FF34|0x35a54906e5fb0CEC74BF258150691A9450a56Ba2|StrategyVelodromeFactory-sAMMV2-USDC/LUSD|Velodrome Reinvest|4|3|2|3|4|3|3|4397830243|Yellow|10590200.48|-590200.48|1072507.95|-829.19
